"ID","Date","Day","Service Counter ID","Time Range","Customer Count"
"116","2019-03-07","Thursday","1","Evening","67"
"117","2019-03-08","Friday","1","Morning","39"
"118","2019-03-08","Friday","1","Evening","63"
"119","2019-03-09","Saturday","1","Morning","33"
"120","2019-03-09","Saturday","1","Evening","76"
"121","2019-03-11","Monday","1","Morning","36"
"122","2019-03-11","Monday","1","Evening","45"
"123","2019-03-12","Tuesday","1","Morning","56"
"124","2019-03-12","Tuesday","1","Evening","43"
"125","2019-03-13","Wednesday","1","Morning","39"
"126","2019-03-13","Wednesday","1","Evening","24"
"127","2019-03-14","Thursday","1","Morning","34"
"128","2019-03-14","Thursday","1","Evening","36"
"129","2019-03-15","Friday","1","Morning","12"
"130","2019-03-15","Friday","1","Evening","34"
"131","2019-03-16","Saturday","1","Morning","45"
"132","2019-03-16","Saturday","1","Evening","56"
"133","2019-03-18","Monday","1","Morning","69"
"134","2019-03-18","Monday","1","Evening","45"
"146","2019-03-25","Monday","1","Morning","32"
"136","2019-03-19","Tuesday","1","Morning","58"
"137","2019-03-19","Tuesday","1","Evening","75"
"138","2019-03-20","Wednesday","1","Morning","23"
"139","2019-03-20","Wednesday","1","Evening","45"
"140","2019-03-21","Thursday","1","Morning","52"
"141","2019-03-21","Thursday","1","Evening","71"
"142","2019-03-22","Friday","1","Morning","63"
"143","2019-03-22","Friday","1","Evening","42"
"144","2019-03-23","Saturday","1","Morning","36"
"145","2019-03-23","Saturday","1","Evening","71"
"147","2019-03-25","Monday","1","Evening","41"
"148","2019-03-26","Tuesday","1","Morning","72"
"149","2019-03-26","Tuesday","1","Evening","89"
"150","2019-03-27","Wednesday","1","Morning","42"
"151","2019-03-27","Wednesday","1","Evening","21"
"152","2019-03-28","Thursday","1","Morning","71"
"153","2019-03-28","Thursday","1","Evening","25"
"154","2019-03-29","Friday","1","Morning","45"
"155","2019-03-29","Friday","1","Evening","41"
"156","2019-03-30","Saturday","1","Morning","74"
"157","2019-03-30","Saturday","1","Evening","18"
"158","2019-04-01","Monday","1","Morning","61"
"159","2019-04-01","Monday","1","Evening","78"
"160","2019-04-02","Tuesday","1","Morning","71"
"161","2019-04-02","Tuesday","1","Evening","63"
"162","2019-04-03","Wednesday","1","Morning","81"
"163","2019-04-03","Wednesday","1","Evening","71"
"164","2019-04-04","Thursday","1","Morning","85"
"165","2019-04-04","Thursday","1","Evening","71"
"166","2019-04-05","Friday","1","Morning","83"
"167","2019-04-05","Friday","1","Evening","72"
"168","2019-04-06","Saturday","1","Morning","96"
"169","2019-04-06","Saturday","1","Evening","93"
"170","2019-04-08","Monday","1","Morning","95"
"171","2019-04-08","Monday","1","Evening","98"
"172","2019-04-09","Tuesday","1","Morning","102"
"173","2019-04-09","Tuesday","1","Evening","93"
"174","2019-04-10","Wednesday","1","Morning","110"
"175","2019-04-10","Wednesday","1","Evening","98"
"176","2019-04-11","Thursday","1","Morning","117"
"177","2019-04-11","Thursday","1","Evening","99"
"178","2019-04-12","Friday","1","Morning","97"
"179","2019-04-12","Friday","1","Evening","93"
"180","2019-04-13","Saturday","1","Morning","109"
"181","2019-04-13","Saturday","1","Evening","0"
"182","2019-04-16","Tuesday","1","Morning","125"
"183","2019-04-16","Tuesday","1","Evening","110"
"184","2019-04-17","Wednesday","1","Morning","123"
"185","2019-04-17","Wednesday","1","Evening","115"
"186","2019-04-18","Thursday","1","Morning","120"
"187","2019-04-18","Thursday","1","Evening","101"
"188","2019-04-20","Saturday","1","Morning","123"
"189","2019-04-20","Saturday","1","Evening","99"
"190","2019-04-22","Monday","1","Morning","65"
"191","2019-04-22","Monday","1","Evening","78"
"192","2019-04-23","Tuesday","1","Morning","45"
"193","2019-04-23","Tuesday","1","Evening","48"
"194","2019-04-24","Wednesday","1","Morning","49"
"195","2019-04-24","Wednesday","1","Evening","57"
"196","2019-04-25","Thursday","1","Morning","59"
"197","2019-04-25","Thursday","1","Evening","61"
"198","2019-04-26","Friday","1","Morning","91"
"199","2019-04-26","Friday","1","Evening","56"
"200","2019-04-27","Saturday","1","Morning","78"
"201","2019-04-27","Saturday","1","Evening","75"
"202","2019-04-29","Monday","1","Morning","76"
"203","2019-04-29","Monday","1","Evening","15"
"204","2019-04-30","Tuesday","1","Morning","78"
"205","2019-04-30","Tuesday","1","Evening","25"
"206","2019-05-02","Thursday","1","Morning","78"
"207","2019-05-02","Thursday","1","Evening","45"
"208","2019-05-03","Friday","1","Morning","25"
"209","2019-05-03","Friday","1","Evening","45"
"210","2019-05-04","Saturday","1","Morning","19"
"211","2019-05-04","Saturday","1","Evening","29"
"212","2019-05-06","Monday","1","Morning","45"
"213","2019-05-06","Monday","1","Evening","52"
"214","2019-05-07","Tuesday","1","Morning","58"
"215","2019-05-07","Tuesday","1","Evening","45"
"216","2019-05-08","Wednesday","1","Morning","69"
"217","2019-05-08","Wednesday","1","Evening","78"
"218","2019-05-09","Thursday","1","Morning","65"
"219","2019-05-09","Thursday","1","Evening","45"
"220","2019-05-10","Friday","1","Morning","89"
"221","2019-05-10","Friday","1","Evening","45"
"222","2019-05-11","Saturday","1","Morning","78"
"223","2019-05-11","Saturday","1","Evening","89"
"224","2019-05-13","Monday","1","Morning","61"
"225","2019-05-13","Monday","1","Evening","78"
"226","2019-05-14","Tuesday","1","Morning","71"
"227","2019-05-14","Tuesday","1","Evening","63"
"228","2019-05-15","Wednesday","1","Morning","81"
"229","2019-05-15","Wednesday","1","Evening","71"
"230","2019-05-16","Thursday","1","Morning","85"
"231","2019-05-16","Thursday","1","Evening","71"
"232","2019-05-17","Friday","1","Morning","83"
"233","2019-05-17","Friday","1","Evening","72"
"234","2019-05-21","Tuesday","1","Morning","45"
"235","2019-05-21","Tuesday","1","Evening","65"
"236","2019-05-22","Wednesday","1","Morning","85"
"237","2019-05-22","Wednesday","1","Evening","45"
"238","2019-05-23","Thursday","1","Morning","56"
"239","2019-05-23","Thursday","1","Evening","78"
"240","2019-05-24","Friday","1","Morning","72"
"241","2019-05-24","Friday","1","Evening","45"
"242","2019-05-25","Saturday","1","Morning","42"
"243","2019-05-25","Saturday","1","Evening","41"
"244","2019-05-27","Monday","1","Morning","45"
"245","2019-05-27","Monday","1","Evening","41"
"246","2019-05-28","Tuesday","1","Morning","25"
"247","2019-05-28","Tuesday","1","Evening","47"
"248","2019-05-29","Wednesday","1","Morning","52"
"249","2019-05-29","Wednesday","1","Evening","42"
"250","2019-05-30","Thursday","1","Morning","85"
"251","2019-05-30","Thursday","1","Evening","71"
"252","2019-05-31","Friday","1","Morning","83"
"253","2019-05-31","Friday","1","Evening","69"
"254","2019-06-01","Saturday","1","Morning","57"
"255","2019-06-01","Saturday","1","Evening","42"
"256","2019-06-03","Monday","1","Morning","25"
"257","2019-06-03","Monday","1","Evening","56"
"258","2019-06-04","Tuesday","1","Morning","45"
"259","2019-06-04","Tuesday","1","Evening","49"
